package_path	private_sha256	published_sha256	reason
model/g0e_armc_b16_96x112_cd0_aug_s20260908_24k.pt	c6955192067c8df1f46960f4803b32eac1c037b84a0f40de3b265b739d85fab8	9cf16eae9dfaa9d1ecabbeda922fe066be60c08541f57f1e9b346a0467aafa35	checkpoint derivative: 3 private path strings in `args` rewritten (args/out, args/ckpt, args/cache_dir); all 244 model tensors, the optimizer state, the RNG states, the step and every other argument verified equal to the as-trained file
model/g0e_armc_b16_96x112_cd0_aug_s20260908_24k.pubproto_eval.json	871fa6096d7bc9c464b86d4983e3ce9330f933f272df3294dc9ee2e25e796496	4f690865e28f8a2386f90bf69c0d528aef3557950e37a1317b5030fd31da8e09	alias rule and path redaction (REDACTION.md)
model/ladder/g0e_armc_b12_96x112_cd0_aug_s20260907_24k/pubproto_eval.json	938b5f8f0d3b19bb6caa9f8e61e72c6e3ef2d7b764da28a380b633b23cdeb268	0b587633aea18b9cd0451a54015373d213f9234a397b80d3449070271026d3ae	alias rule and path redaction (REDACTION.md)
model/ladder/g0e_armc_b12_96x112_cd0_aug_s20260908_24k/pubproto_eval.json	3df29b479954007d82061faa5917486b4e9d19b4a7da711dffe209cd9aba3157	6e65ccdae03542347f347bb6ef36698ff936217d337d3f71c687deb95d85f73f	alias rule and path redaction (REDACTION.md)
model/ladder/g0e_armc_b16_48x56_cd0_aug_s20260907_24k/pubproto_eval.json	dad58bd25f427a3ffd62deb353c3a6a114ab644e79c611720a5d5027f542cae1	032dc7d2a2396aa629d49559d2cd0e124ade50870b7d129698c4528f5623956a	alias rule and path redaction (REDACTION.md)
model/ladder/g0e_armc_b16_48x56_cd0_aug_s20260908_24k/pubproto_eval.json	ae72d56a41a09438372dce97e849ac992b36f18ed1affb1b869e2d0f7c34a1f9	65bc0539de90eddbb097443eb110a80f80e8133b623fa7bfdaa52237a9d13c3e	alias rule and path redaction (REDACTION.md)
model/ladder/g0e_armc_b16_96x112_cd0_aug_s20260907_24k/pubproto_eval.json	3adb9112a248e7b19c9bc7ad9ca2b04c8f8bad2ea56e2398c9555d2b0955f2e4	cbea3ca7a699418d330eafff5e74e683e1c6bdce662ae0d2e6becddccc0cbc77	alias rule and path redaction (REDACTION.md)
model/ladder/g0e_armc_b16_96x112_cd0_aug_s20260907_48k/pubproto_eval.json	12ab7bc72bc37f4b0f8831d96bd9fc19bbf7e1a01c845ee5bd1a4fe95484640e	f82c9d6dc9805011f477dd8e322815af009e5b03f7b736687167212c157f3a96	alias rule and path redaction (REDACTION.md)
model/ladder/g0e_armc_b16_96x112_cd0_aug_s20260908_24k/pubproto_eval.json	7e637ebb33d26add6ee79711d0d9093d6ba187577e5adb5bd6802d47ecc626f4	d47b3e970a41f2ded5ae4d5603aa9f2fc11fe5fa0c81772bf7e531c9b634d7ef	alias rule and path redaction (REDACTION.md)
model/ladder/g0e_armc_b16_96x112_cd0_aug_s20260909_24k/pubproto_eval.json	e43e8212ab0d92edad2c2bb87e3c42e8e0b630d0d7f0b88ae79596c79b207862	c5d8efd1eb42a76e47947dff8a83498be5e0fe154eb6371441704e0627934ca3	alias rule and path redaction (REDACTION.md)
model/ladder/g0f_armc_b12_48x56_cd0_aug_s20260907_48k/pubproto_eval.json	1347e2ebfd564a55bc1dd005553153c4156dd48736d6c8630dca42b802256ed1	430ce02deb6c85b0a0c9817d34d88e347a49f24c75a116bcbf94be453920e594	alias rule and path redaction (REDACTION.md)
model/ladder/g0f_armc_b12_96x112_cd0_aug_s20260907_48k/pubproto_eval.json	db5d4443e84b5e1f973358cf650133ff9c05d635d7bd2f233a02a6d143d51e69	2534fe19cf5938170aca4fcbcecfd56d31390f73816e05c03e7db42f6c93d5e3	alias rule and path redaction (REDACTION.md)
model/ladder/g0f_armc_b12_96x112_cd0_aug_s20260909_24k/pubproto_eval.json	702a8a1c19d2d9b16fd3e3295562d16dfea9a4354ba62d735a6a239219ed888b	707fb3c2fbdea7e4e74d810ccb71781e2b490541fdcbb6b06217c5a06e6adf1b	alias rule and path redaction (REDACTION.md)
model/ladder/g0f_armc_b16_48x56_cd0_aug_s20260907_48k/pubproto_eval.json	9148bda05342d6c6e0bb2032d26f25c2e67972f3922e07c0e10de3883676edce	2e2176c2a87bd807317a62f081ebb4f67daa3648a966306bcb0baae709e00e4c	alias rule and path redaction (REDACTION.md)
model/ladder/g0f_armc_b16_96x112_cd0_aug_s20260907_96k/pubproto_eval.json	8cfacbc934181d7214d628621059596caa54312c678f1a84f57bd291ba58734f	805b109126fdbcedc90d068faf5dec68cd625d6301973492a40f5a3d8458185e	alias rule and path redaction (REDACTION.md)
model/ladder/g0f_armc_b8_48x56_cd0_aug_s20260907_96k/pubproto_eval.json	b631414194a4d5f27b3755a9fee42a62385bb3e98c8aaed5272700579a4d62f4	97b067505f01ca9df2aec2c748ab03489e8aae30323514fc46fb9d18a8df6ed4	alias rule and path redaction (REDACTION.md)
model/ladder/g0f_armc_b8_96x112_cd0_aug_s20260907_48k/pubproto_eval.json	fc346e03ce7cc9e8f2f8ce89f7e44f78371acb2ed74860103f9b8d5fde9f63c7	9e094fedea5c994c60ec246391a84d98932d88789699a47e80a3cd63594d4a63	alias rule and path redaction (REDACTION.md)
model/ladder/g0f_armc_b8_96x112_cd0_aug_s20260907_96k/pubproto_eval.json	105c547d262f6fa2d1c2e234b4b8f34483b358bb20c5ecab88f5beab85ba2049	4224019ae84cfed34db3aa7baf95404d13b07529ecac173412d110c04a118c64	alias rule and path redaction (REDACTION.md)
