package_path	private_sha256	published_sha256	reason
replicate/lambda_a100_20260908/build_cuda0.stdout	147c19be4b07fe36a8dd67a4c1e520109f9784c6e029232b593f9176b94a8801	6e7dee2171d8b357e4d2aa47fa5c6648ccd0bc351a22beb03779bbe0e21a54f4	path and hostname redaction of the rented instance's record (REDACTION.md; replicate/TEST_LOG_LAMBDA_A100.md)
replicate/lambda_a100_20260908/build_cuda1.stdout	e94885d080d9d96dc2551963ae1e7b6ed91a7837248ec81c57b32df9c733a73d	78532cd552c89986e201032addb82442682b9de7845fe6f7f2a7f9c7c45bb7b0	path and hostname redaction of the rented instance's record (REDACTION.md; replicate/TEST_LOG_LAMBDA_A100.md)
replicate/lambda_a100_20260908/prepare_600/BATCH_MANIFEST.json	a2f709f9da4c4a21b4857e5193c1f6a3ca2db92e62d0773b1b9f2b72a9f0d288	72ff5767e99036cc7df2a42b4eed8c84a42406fa48edab426d1b08933e3dc041	path and hostname redaction of the rented instance's record (REDACTION.md; replicate/TEST_LOG_LAMBDA_A100.md)
replicate/lambda_a100_20260908/prepare_600/stdout	2a4dcbc5a95560d9fd95262546090295f1b095a2bf34b2f60963322b7117092c	854e90fe3083a6ca662c2fc4f2ddddab4f9f34ae965656002e46de5942bc6f84	path and hostname redaction of the rented instance's record (REDACTION.md; replicate/TEST_LOG_LAMBDA_A100.md)
replicate/lambda_a100_20260908/prepare_600/row_000600/receipt.json	f33a3a04b8e7b41e08d31fc52f0bd3017ece1b67478e037da7025b00c160e8bd	03c6d6f701593ae05a440e772fe11d53e89d15d821a915ea227df63296c3403f	path and hostname redaction of the rented instance's record (REDACTION.md; replicate/TEST_LOG_LAMBDA_A100.md)
replicate/lambda_a100_20260908/execute_600/BATCH_MANIFEST.json	384667238508550bc04dee080c615e0216b6611d297cdc7ae956405a35c9a2aa	0d8599443c0c64f1c4fd6c6c8b7b2bbcc1961ace09576228d067ffd029385e33	path and hostname redaction of the rented instance's record (REDACTION.md; replicate/TEST_LOG_LAMBDA_A100.md)
replicate/lambda_a100_20260908/execute_600/stdout	f5059fd0f6afc22bd4fcfdbab9eba457ad35cf6f88c6221c4e4b7d40d11828d9	d1266fef4aa772486bf1f3ec42e915b8dcafa77f5aa392534b6e64ad831a9af1	path and hostname redaction of the rented instance's record (REDACTION.md; replicate/TEST_LOG_LAMBDA_A100.md)
replicate/lambda_a100_20260908/execute_600/stderr	78df30b37b9d9be5bb1e18bf405bdf6ff0373756816867dd4a823e8b1cede550	59ee6d93088e49309169fdc07d511ac951970ba726bbd6c4a48bc92977c9b878	path and hostname redaction of the rented instance's record (REDACTION.md; replicate/TEST_LOG_LAMBDA_A100.md)
replicate/lambda_a100_20260908/execute_600/row_000600/receipt.json	3a234d3944031807224dc163e215d2e0d07f93eb93d045c7456091c8b09bd437	3154cff1e6de1d19cb7a33bee3333ae79771b45db7ff24ae03f2e806e5eae29a	path and hostname redaction of the rented instance's record (REDACTION.md; replicate/TEST_LOG_LAMBDA_A100.md)
replicate/lambda_a100_20260908/prove_600/BATCH_MANIFEST.json	ca05e760658049088f36824d5a2e201ee669735f1afa1d1d3f08cb9540562a0d	0a39a8bb28d293478becbdf40b84ed4baf3fb14c705184687005caf45d659e16	path and hostname redaction of the rented instance's record (REDACTION.md; replicate/TEST_LOG_LAMBDA_A100.md)
replicate/lambda_a100_20260908/prove_600/row_000600.verify.json	c5739be473ed9993b180f92f3e03c17fe07b13cceb67172adc5dfd465ce924d2	45bfb0e99421ed353690d136a9923a78852002f79742c3bb9867dbfbd92889bd	path and hostname redaction of the rented instance's record (REDACTION.md; replicate/TEST_LOG_LAMBDA_A100.md)
replicate/lambda_a100_20260908/prove_600/row_000600/receipt.json	8dae6074fd19ff47444a7ddbb0bae656b119b7968e0d6d0e98c9d711ced309a2	bd595931feb154c3a1dcbb246ec2c0b2fdb77e84b0dbeb05404c7c2b0a204f88	path and hostname redaction of the rented instance's record (REDACTION.md; replicate/TEST_LOG_LAMBDA_A100.md)
replicate/lambda_a100_20260908/verify/controls_000600.json	882e94f84248cace81dad6523e232f3ca57ed9980696896b49497699590c0390	415341e79ba64fc9dfb3b682a83db3c4f777ca35a98d5de955ecd33f650e997a	path and hostname redaction of the rented instance's record (REDACTION.md; replicate/TEST_LOG_LAMBDA_A100.md)
replicate/lambda_a100_20260908/verify/raw_000600.json	75f2f00a60d4c8f2dea135997d4e0af1b661ea9d058749d09102e87c699a21cb	641ce031d784104b3b947370e3d149f89095f9bb45bef9daeba81e2918750593	path and hostname redaction of the rented instance's record (REDACTION.md; replicate/TEST_LOG_LAMBDA_A100.md)
